Phrase,Frequency
ma jʼef,148
"eju ,",148
; u,148
du n,147
uche̩ichi uche̩ichi,147
kʼe̩ne̩ du,147
i lewa,146
n :,146
teju alu,146
owñ le̩,146
ma do̩,145
kʼe̩ che,145
ma kpa,145
", ef",144
me̩ che,144
abo unyi,144
ta n,143
e̩gba du,142
ka kʼomi,142
ma le,142
unyi akwo̩ra,142
i ki,141
n. i,141
: todu,140
o̩jo̩ .,140
me̩ kakini,140
jihofa la,140
unyi le̩,140
; todule̩,139
", e̩gbale̩",139
"ko ,",139
", iche̩wñ",138
owñ che,138
dufu wa,138
israe̩l .,137
de̩ :,137
eju jihofa,137
ki dʼef,137
"meji ,",136
i je̩,136
du ;,135
o̩jo̩ le̩,134
"e̩ ,",134
ñw one̩,134
ko̩la ñw,133
. ame̩,133
kʼi ache,133
du ef,133
ka-i .,133
kʼondu jihofa,132
abo le̩,132
dohi ñw,132
li ka,131
kʼi ne̩,131
; i,130
"rinyo̩ ,",130
"o̩la ,",130
wa ñwu,130
ewo ewo,129
. iche̩wñ,129
onobule̩ le̩,129
la de̩,129
o̩wo̩ o̩pata,128
la ka,128
wʼugbo mi,127
ame̩ ki,127
", tode̩gba",126
ondu jihofa,126
unyabo ujeju,126
oñ abo,126
. jihofa,124
du ma,124
kpʼabo ku,123
du kʼu,123
", amo̩ma",123
? todu,122
iko le̩,122
oñ a,122
oj uwo,122
le̩ wa,122
", o̩jo̩",122
n. todule̩,121
wa ñw,120
e̩wñ iche̩bo̩,120
kʼe̩ ka,120
chema ka,119
. owñ,119
; abe̩le̩,119
todu ku,118
oñ abo,118
"ka ,",118
le̩ che,118
o̩la jihofa,118
"lewa ,",118
"ne̩ ,",117
ma wa,116
unyi abo,116
"je̩rusale̩m ,",116
jisus ka,116
ojoji ojoji,116
jihofa le̩,116
la ko̩,116
i ma,116
; abo,115
todabu kʼi,115
ma kwo,115
ma le̩,115
alu du,114
o̩pata o̩gane̩,114
ki mud,114
o̩jo̩ ki,114
onu juda,114
e̩ .,113
abo ku,113
. go,113
", a",113
naka ñwu,113
ma mu,113
ma e̩wñ,112
te̩ ñw,112
"alo ,",111
", e-le̩",111
le̩ ge̩,111
; omi,111
o̩gbo̩ meji,111
jihofa ñwa,111
ma neke,111
kʼi dʼef,111
e̩wñ kʼi,109
ñwu defid,109
onu israe̩l,109
"leku ,",109
i chaka,109
ama ka,109
wa le̩,109
wa ;,109
i le,108
du kʼe̩,108
", e̩gba",108
ame̩ ki,108
amone̩ du,108
kʼe̩ ma,108
kpai e̩ne̩,107
kʼi ka,107
ñw me̩,107
oñ omi,107
onu babilo̩n,107
", tod",107
"ochochi ,",106
muda che̩wñ,106
chaka ;,106
"uwe̩ ,",106
"gbo̩ ,",106
chʼe̩ne̩ ki,106
che :,106
; alu,105
", o̩ma",105
kiafo̩ le̩,105
le̩ n.,105
chi ku,105
", abo",105
nʼe̩ne̩ du,105
", tak",105
"o̩ma-wñ ,",105
. abo-i,105
u ;,104
"wane̩ ,",104
che le̩,104
o̩pata ate̩,104
i laño̩,104
ma hi,103
kʼi ño̩,103
abo du,102
; kpai,102
u ka,102
ki railo,101
ñw amo̩ma,101
e-ku ma,101
tak uwe̩,101
du wa,101
che ku,101
e̩wñ ñw,101
todu jihofa,101
owñ chʼabo,101
che ñw,101
meji le̩,101
; todabu,101
la mʼu,101
o̩jo̩ uñmi,100
abe̩le̩ ma,100
", ugbo",100
gugu ef,100
du ka,100
